iit,reviewed_date,month,degree,branch,batch_year,is_alumni,overall_rating,placements_rating,infrastructure_rating,faculty_rating,campus_rating,vfm_rating,academics_rating,rating_0_5,rating_source,stars_int,stars_half,label,text,source_url
"IIT Bombay Reviews on Placements, Faculty and Facilities",2025-10-12,2025-10,Integrated B.Tech. in Electrical Engineering + M.Tech.,C,,false,4.0,4.0,5.0,5.0,5.0,,,4.00,overall,4,4.0,good,"- Batch of 2025 4 4 Placements 4 Infrastructure 4 Faculty 4 Crowd &amp; Campus Life 4 Value for Money Four years heavenly life. Placements: During campus placement at my college 90% of students from my department got placed. The highest package offered is 80LPA and the average CTC is something around 12 to 13 LPA. Mass hiring companies for civil services are Godrej and ICICI Bank. 70% got internship. Top role offered was a Data Scientist Role. Infrastructure: Classroom is fully equipped with Wi-Fi and AC. The college has a central library where all kinds of books are available. The food and other facilities like gym culture room TV room everything is good. Time to time a special dinner is provided in the mess. All states' major festivals are celebrated in college. Faculty: Faculty members are quite outstanding and highly qualified in their subjects. They are helpful too like you can approach them regarding taking guidance related to internship or for referral for higher studies too. Semester examination difficulty level is moderate to slightly hard. Passing percentage totally depends on the professor mostly it is in the range of 35 to 40% percent. Other: I have chosen this course based on my JEE Advanced rank. I got a degree in civil engineering from IIT Bombay. Civil engineering is the fundamental discipline for infrastructure development of any country and this fascinates me to take this course. Many events and fest keep happening on campus, like Mood Indigo and Techfest. Reviewed on 12 Oct 2025 Read More S Shlok Nemani Integrated B.Tech. in Electrical Engineering + M.Tech. in Communication and Signal Processing - Batch of 2024 4.6 4 Placements 4 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 5 Value for Money Great campus life, and you get to work with top professors in varied domains. Placements: Placements are really good in the EE branch, with opportunities from all the domains, including Core, Development, CSE, Consulting, and Finance, being thrown open to the students, so no dearth of opportunities. For sure 90% of students get placements and internships, and any student should least worry about those things. You get all the top recruiting MNCs here for the interviews. I feel EE is at a bit of a sweet spot compared to CSE in many regards. Infrastructure: While new residential buildings are coming up, the existing hostel infrastructure is a bit old, so there are some issues in that regard, and students should be mentally prepared for that. Academic infrastructure, including classrooms, labs, and a library, is at par with what students should expect from a good college. Faculty: It may feel like teaching is done in the same way as we go through the schools, since it's mostly the lectures and then you go through the exams (pen and paper), so it may feel like the same pattern but after 3rd year you get many opportunities to be more research oriented and curriculum becomes more project based. Course is enough for students to be industry-ready if they put in enough work. Other: EE as a department will be much better due to higher batch strength, as well as if people take integrated 5-year course, they do get an extra year to spend on the campus if they like.","file://C:/Users/ASUS/Desktop/Sample Project/Webpages_Bombay/IIT Bombay Reviews on Placements, Faculty and Facilities.html"
"IIT Bombay Reviews on Placements, Faculty and Facilities",2025-08-09,2025-08,Integrated B.Tech. in Electrical Engineering + M.Tech.,C,,false,4.6,5.0,5.0,5.0,5.0,,,4.60,overall,5,4.5,good,"Reviewed on 12 Oct 2025 Read More S Shlok Nemani Integrated B.Tech. in Electrical Engineering + M.Tech. in Communication and Signal Processing - Batch of 2024 4.6 4 Placements 4 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 5 Value for Money Great campus life, and you get to work with top professors in varied domains. Placements: Placements are really good in the EE branch, with opportunities from all the domains, including Core, Development, CSE, Consulting, and Finance, being thrown open to the students, so no dearth of opportunities. For sure 90% of students get placements and internships, and any student should least worry about those things. You get all the top recruiting MNCs here for the interviews. I feel EE is at a bit of a sweet spot compared to CSE in many regards. Infrastructure: While new residential buildings are coming up, the existing hostel infrastructure is a bit old, so there are some issues in that regard, and students should be mentally prepared for that. Academic infrastructure, including classrooms, labs, and a library, is at par with what students should expect from a good college. Faculty: It may feel like teaching is done in the same way as we go through the schools, since it's mostly the lectures and then you go through the exams (pen and paper), so it may feel like the same pattern but after 3rd year you get many opportunities to be more research oriented and curriculum becomes more project based. Course is enough for students to be industry-ready if they put in enough work. Other: EE as a department will be much better due to higher batch strength, as well as if people take integrated 5-year course, they do get an extra year to spend on the campus if they like. Reviewed on 9 Aug 2025 Read More (2) 2 people found this helpful F Fazil Ashraf M.Tech. in Computer Science and Engineering - Batch of 2025 5 5 Placements 5 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 5 Value for Money M.Tech experience at IIT Bombay - Placements, faculty members, and campus life. Placements: I did my M.Tech in CSE from IIT Bombay in 2025. 95-98% of candidates got placed. The highest package is 46 LPA, average is 30 LPA, and the lowest is 15 LPA. Top companies that come for recruitment are Google, Microsoft, Amazon, and NVIDIA. Approximately 90% of students got placed for internships at Microsoft, Qualcomm, Adobe, and Samsung R&amp;D. Overall, placement support is very good. Infrastructure: CSE department boasted world-class facilities with 24X7 Wi-Fi, world-class labs, smart classrooms, and access to a world-class library. Hostels are hygienic with 24X7 internet, clean rooms, and housekeeping. Mess food is hygienic and good with two canteen options. Medical facilities are easily accessible. The campus boasted world-class sports grounds, gym, and recreational facilities. Faculty: Teachers are highly qualified, experienced, and easily accessible. The teaching is of excellent quality with good practical as well as theoretical stress. The course is practically based with a focus on core and emerging topics like AI, ML, and systems. Semester exams are moderately challenging, requiring in-depth knowledge. The pass rate is very high at 95-98% with excellent academic guidance from teachers.","file://C:/Users/ASUS/Desktop/Sample Project/Webpages_Bombay/IIT Bombay Reviews on Placements, Faculty and Facilities.html"
"IIT Bombay Reviews on Placements, Faculty and Facilities",2025-07-09,2025-07,M.Tech,C,,false,5.0,5.0,5.0,5.0,5.0,,,5.00,overall,5,5.0,good,"Reviewed on 9 Aug 2025 Read More (2) 2 people found this helpful F Fazil Ashraf M.Tech. in Computer Science and Engineering - Batch of 2025 5 5 Placements 5 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 5 Value for Money M.Tech experience at IIT Bombay - Placements, faculty members, and campus life. Placements: I did my M.Tech in CSE from IIT Bombay in 2025. 95-98% of candidates got placed. The highest package is 46 LPA, average is 30 LPA, and the lowest is 15 LPA. Top companies that come for recruitment are Google, Microsoft, Amazon, and NVIDIA. Approximately 90% of students got placed for internships at Microsoft, Qualcomm, Adobe, and Samsung R&amp;D. Overall, placement support is very good. Infrastructure: CSE department boasted world-class facilities with 24X7 Wi-Fi, world-class labs, smart classrooms, and access to a world-class library. Hostels are hygienic with 24X7 internet, clean rooms, and housekeeping. Mess food is hygienic and good with two canteen options. Medical facilities are easily accessible. The campus boasted world-class sports grounds, gym, and recreational facilities. Faculty: Teachers are highly qualified, experienced, and easily accessible. The teaching is of excellent quality with good practical as well as theoretical stress. The course is practically based with a focus on core and emerging topics like AI, ML, and systems. Semester exams are moderately challenging, requiring in-depth knowledge. The pass rate is very high at 95-98% with excellent academic guidance from teachers. Reviewed on 9 Jul 2025 Read More S Sai B.Tech. in Metallurgical Engineering and Materials Science - Batch of 2026 5 5 Placements 5 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 5 Value for Money It is good because of the faculty. There are good placements every year. Placements: Good placements are there in our college. The highest package is 3 crores per annum, and the lowest package is 25 LPA. Top recruiting companies for our course are Google, Microsoft, Amazon, Apple, Flipkart and top MNCs. Around 80-90% of students get internships from our course. Infrastructure: Facilities and infrastructure available for our course/department like Wi-Fi, labs, classrooms, and the library are very clean. We feel good to spend time there and they are very good. The quality of facilities in our hostel is good. The quality of food in the mess is delicious. Faculty: Teachers are helpful, qualified, and knowledgeable on my campus. The teaching quality is good. The course curriculum is relevant and it makes students industry-ready. Semester exams in this college are difficult but if we do hard work, we can get a good percentage. Other: I chose this course because it is easy so that I can give time for extra skills and it is useful for placements. The best thing about my course is it is easy and interesting.","file://C:/Users/ASUS/Desktop/Sample Project/Webpages_Bombay/IIT Bombay Reviews on Placements, Faculty and Facilities.html"
"IIT Bombay Reviews on Placements, Faculty and Facilities",2025-06-22,2025-06,ms,t,,false,5.0,4.0,5.0,5.0,4.0,,,5.00,overall,5,5.0,good,"Reviewed on 9 Jul 2025 Read More S Sai B.Tech. in Metallurgical Engineering and Materials Science - Batch of 2026 5 5 Placements 5 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 5 Value for Money It is good because of the faculty. There are good placements every year. Placements: Good placements are there in our college. The highest package is 3 crores per annum, and the lowest package is 25 LPA. Top recruiting companies for our course are Google, Microsoft, Amazon, Apple, Flipkart and top MNCs. Around 80-90% of students get internships from our course. Infrastructure: Facilities and infrastructure available for our course/department like Wi-Fi, labs, classrooms, and the library are very clean. We feel good to spend time there and they are very good. The quality of facilities in our hostel is good. The quality of food in the mess is delicious. Faculty: Teachers are helpful, qualified, and knowledgeable on my campus. The teaching quality is good. The course curriculum is relevant and it makes students industry-ready. Semester exams in this college are difficult but if we do hard work, we can get a good percentage. Other: I chose this course because it is easy so that I can give time for extra skills and it is useful for placements. The best thing about my course is it is easy and interesting. Reviewed on 22 Jun 2025 Read More (3) 3 people found this helpful B Bhogalapalli Sandesh B.Tech. in Computer Science and Engineering - Batch of 2028 4.4 4 Placements 4 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 4 Value for Money About the dream college, IIT Bombay. Placements: Almost 80% of students have been placed in our senior batch in CSE, and the rest have gone for higher studies abroad. The highest package offered is 2.4 crores per annum, and the lowest is 20 LPA. The average is somewhere around 40 LPA. Very famous quant companies and development companies visit IITB. Infrastructure: The only problem with being at IITB is that hostels were built way back in the 1960s and 1970s. Rooms were originally designed for a single student, but as time passed and the number of students increased, rooms became shared, which is somewhat comfortable. The food is adjustable. The academic infrastructure is excellent. We have Wi-Fi throughout most of the campus. Classrooms are well maintained. The library is big and has many resources. Canteens are affordable, and tasty food is served there. Faculty: Faculty members are very intellectual individuals who hold many patents in their research. I feel very lucky to be taught by faculty at IITB. They are well-versed in what they teach. Coming to exams, the semester exams are tough. This is intended to prepare us for future challenges. The average score in exams is usually around 30% of the total marks. Other: I hope people who read this also come to IIT Bombay. There is an entrance test for this college, which is the JEE Advanced exam. To write this exam, you have to first clear the JEE Main exam.","file://C:/Users/ASUS/Desktop/Sample Project/Webpages_Bombay/IIT Bombay Reviews on Placements, Faculty and Facilities.html"
"IIT Bombay Reviews on Placements, Faculty and Facilities",2025-06-17,2025-06,,,,false,4.4,5.0,4.0,5.0,4.0,,,4.40,overall,4,4.5,good,"Reviewed on 22 Jun 2025 Read More (3) 3 people found this helpful B Bhogalapalli Sandesh B.Tech. in Computer Science and Engineering - Batch of 2028 4.4 4 Placements 4 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 4 Value for Money About the dream college, IIT Bombay. Placements: Almost 80% of students have been placed in our senior batch in CSE, and the rest have gone for higher studies abroad. The highest package offered is 2.4 crores per annum, and the lowest is 20 LPA. The average is somewhere around 40 LPA. Very famous quant companies and development companies visit IITB. Infrastructure: The only problem with being at IITB is that hostels were built way back in the 1960s and 1970s. Rooms were originally designed for a single student, but as time passed and the number of students increased, rooms became shared, which is somewhat comfortable. The food is adjustable. The academic infrastructure is excellent. We have Wi-Fi throughout most of the campus. Classrooms are well maintained. The library is big and has many resources. Canteens are affordable, and tasty food is served there. Faculty: Faculty members are very intellectual individuals who hold many patents in their research. I feel very lucky to be taught by faculty at IITB. They are well-versed in what they teach. Coming to exams, the semester exams are tough. This is intended to prepare us for future challenges. The average score in exams is usually around 30% of the total marks. Other: I hope people who read this also come to IIT Bombay. There is an entrance test for this college, which is the JEE Advanced exam. To write this exam, you have to first clear the JEE Main exam. Reviewed on 17 Jun 2025 Read More (2) 2 people found this helpful S Sumit Kumar Anand B.Tech. in Mechanical Engineering - Batch of 2019 4.6 5 Placements 5 Infrastructure 4 Faculty 5 Crowd &amp; Campus Life 4 Value for Money Overall, it offers a fantastic package and there are no problems. Placements: I got placed in mechanical engineering and in that course, I got some packages from the biggest companies like Eicher, Tata, etc. I got a package of 25 LPA and one of my friends got a package of 18 LPA and it is a good package. Top roles like builder, enhance, etc., are offered. Infrastructure: Facilities and infrastructure are very good. The hostel has 24x7 electricity with a water supply. A good speed Wi-Fi is provided. The food of the canteen is very good. There are many choices for food. The food is prepared with hygiene and cleanliness. Faculty: Teachers are very qualified and support students from every perspective. Sometimes, they provide challenges to students and give the test paper so hard. They make students industry-ready. The course curriculum is relevant. Semester exams are not very difficult but easy to pass with regular studies. By the way, many students pass exams.","file://C:/Users/ASUS/Desktop/Sample Project/Webpages_Bombay/IIT Bombay Reviews on Placements, Faculty and Facilities.html"
"IIT Bombay Reviews on Placements, Faculty and Facilities",2025-06-12,2025-06,ms,t,,false,4.6,5.0,4.0,4.0,5.0,,,4.60,overall,5,4.5,good,"Reviewed on 17 Jun 2025 Read More (2) 2 people found this helpful S Sumit Kumar Anand B.Tech. in Mechanical Engineering - Batch of 2019 4.6 5 Placements 5 Infrastructure 4 Faculty 5 Crowd &amp; Campus Life 4 Value for Money Overall, it offers a fantastic package and there are no problems. Placements: I got placed in mechanical engineering and in that course, I got some packages from the biggest companies like Eicher, Tata, etc. I got a package of 25 LPA and one of my friends got a package of 18 LPA and it is a good package. Top roles like builder, enhance, etc., are offered. Infrastructure: Facilities and infrastructure are very good. The hostel has 24x7 electricity with a water supply. A good speed Wi-Fi is provided. The food of the canteen is very good. There are many choices for food. The food is prepared with hygiene and cleanliness. Faculty: Teachers are very qualified and support students from every perspective. Sometimes, they provide challenges to students and give the test paper so hard. They make students industry-ready. The course curriculum is relevant. Semester exams are not very difficult but easy to pass with regular studies. By the way, many students pass exams. Reviewed on 12 Jun 2025 Read More (1) 1 person found this helpful R Rhea Patel B.Tech. in Computer Science and Engineering - Batch of 2025 4.6 5 Placements 5 Infrastructure 4 Faculty 4 Crowd &amp; Campus Life 5 Value for Money I am absolutely satisfied with every corner. Placements: IIT Bombay is very famous for placements. I got a placement with a package of 20 LPA in the games app development role. There are many courses in the college, and so not many students but a good amount of students got placed in my course. Every student gets internships or jobs. Top roles offered are app development, app beta checker, etc. Infrastructure: IIT Bombay campus is very big. I got a hostel room for just only Rs. 15 per year and that is pretty good. Rooms in the hostel have almost 150 Mbps Wi-Fi. The food of the canteen is fantastic. There are no charges for the canteen food and sometimes there is no good food in the canteen so we can go to any other canteen on the campus. Free medical facilities and sports are provided to students. Faculty: Teachers are very qualified and their teaching style is also very good. They teach by giving real-life examples and sometimes they organise real-life experiments. The course curriculum is relevant as per the new educational policies and it makes students industy-ready. Other: There is a huge budget for the fest and events. Here, events organised are very fantastic. The college also provides some trips for students.","file://C:/Users/ASUS/Desktop/Sample Project/Webpages_Bombay/IIT Bombay Reviews on Placements, Faculty and Facilities.html"
"IIT Bombay Reviews on Placements, Faculty and Facilities",2025-06-12,2025-06,ms,t,,true,4.6,5.0,4.0,5.0,5.0,,,4.60,overall,5,4.5,good,"Reviewed on 12 Jun 2025 Read More (1) 1 person found this helpful R Rhea Patel B.Tech. in Computer Science and Engineering - Batch of 2025 4.6 5 Placements 5 Infrastructure 4 Faculty 4 Crowd &amp; Campus Life 5 Value for Money I am absolutely satisfied with every corner. Placements: IIT Bombay is very famous for placements. I got a placement with a package of 20 LPA in the games app development role. There are many courses in the college, and so not many students but a good amount of students got placed in my course. Every student gets internships or jobs. Top roles offered are app development, app beta checker, etc. Infrastructure: IIT Bombay campus is very big. I got a hostel room for just only Rs. 15 per year and that is pretty good. Rooms in the hostel have almost 150 Mbps Wi-Fi. The food of the canteen is fantastic. There are no charges for the canteen food and sometimes there is no good food in the canteen so we can go to any other canteen on the campus. Free medical facilities and sports are provided to students. Faculty: Teachers are very qualified and their teaching style is also very good. They teach by giving real-life examples and sometimes they organise real-life experiments. The course curriculum is relevant as per the new educational policies and it makes students industy-ready. Other: There is a huge budget for the fest and events. Here, events organised are very fantastic. The college also provides some trips for students. Reviewed on 12 Jun 2025 Read More (1) 1 person found this helpful A Amol Agarwal Master of Business Administration (MBA) - Batch of 2025 Offered by Shailesh J. Mehta School of Management, IIT Bombay 4.8 5 Placements 5 Infrastructure 4 Faculty 5 Crowd &amp; Campus Life 5 Value for Money The college has provided decent placements in 2025 despite the bad market. Placements: Decent placements concerning the fee charge. Most of the students get placed in good roles. Summer internships are top-notch for 70 - 80% of the batch with legacy recruiters like Asian Paints, Marico, PNG, Ebay, etc. Roles are spread across consulting, analytics, supply chain, etc. Infrastructure: You get to experience campus life at the IIT hostel with excellent sports amenities, and medical facilities. SJMSOM has a separate building with state-of-the-art classrooms and seating facilities. Hostel food is decent enough, and you also have outlets like Chaayos and CCD giving food at subsidized prices for students. Faculty: Teachers are well-qualified and helpful. They give projects for hands-on learning as well. Some work needs to be done in terms of introducing proper specialization and elective selection. They provide guest lectures from reputed industry leaders and alumni as well. Other: It is a good course with respect to ROI and brands that come to campus.","file://C:/Users/ASUS/Desktop/Sample Project/Webpages_Bombay/IIT Bombay Reviews on Placements, Faculty and Facilities.html"
"IIT Bombay Reviews on Placements, Faculty and Facilities",2025-06-02,2025-06,ms,i,,true,3.6,4.0,4.0,3.0,4.0,,,3.60,overall,4,3.5,neutral,"Reviewed on 12 Jun 2025 Read More (1) 1 person found this helpful A Amol Agarwal Master of Business Administration (MBA) - Batch of 2025 Offered by Shailesh J. Mehta School of Management, IIT Bombay 4.8 5 Placements 5 Infrastructure 4 Faculty 5 Crowd &amp; Campus Life 5 Value for Money The college has provided decent placements in 2025 despite the bad market. Placements: Decent placements concerning the fee charge. Most of the students get placed in good roles. Summer internships are top-notch for 70 - 80% of the batch with legacy recruiters like Asian Paints, Marico, PNG, Ebay, etc. Roles are spread across consulting, analytics, supply chain, etc. Infrastructure: You get to experience campus life at the IIT hostel with excellent sports amenities, and medical facilities. SJMSOM has a separate building with state-of-the-art classrooms and seating facilities. Hostel food is decent enough, and you also have outlets like Chaayos and CCD giving food at subsidized prices for students. Faculty: Teachers are well-qualified and helpful. They give projects for hands-on learning as well. Some work needs to be done in terms of introducing proper specialization and elective selection. They provide guest lectures from reputed industry leaders and alumni as well. Other: It is a good course with respect to ROI and brands that come to campus. Reviewed on 2 Jun 2025 Read More (2) 2 people found this helpful S Sumit kumar B.Tech. in Civil Engineering - Batch of 2019 3.6 3 Placements 4 Infrastructure 4 Faculty 3 Crowd &amp; Campus Life 4 Value for Money Review of IIT Bombay - Indian Institute of Technology. Placements: Many students got placed in our college. The highest package is 17 LPA. The lowest package is 3 LPA. Top companies visit our college to recruit students. Almost 95% of students get an internship every year. Infrastructure: The facilities and infrastructure available in this course are so good. Wi-Fi and classroom as well as a library are present in this college. The food quality in this course is so good. Medical is available and sports and games are present in this course. Faculty: Teachers in my college are very helpful and qualified. They have great teaching qualities. The course curriculum is relevant. Students are not fully industry-ready. The semester exam in this course is so easy therefore pass percentage is more than 60% in this course. Other: I choose this course for getting good income source there is no wish to improve. The campus crowd is so good. The scholarship is available at this college.","file://C:/Users/ASUS/Desktop/Sample Project/Webpages_Bombay/IIT Bombay Reviews on Placements, Faculty and Facilities.html"
"IIT Bombay Reviews on Placements, Faculty and Facilities",2025-04-16,2025-04,,,,false,3.6,5.0,5.0,5.0,5.0,,,3.60,overall,4,3.5,neutral,"Reviewed on 2 Jun 2025 Read More (2) 2 people found this helpful S Sumit kumar B.Tech. in Civil Engineering - Batch of 2019 3.6 3 Placements 4 Infrastructure 4 Faculty 3 Crowd &amp; Campus Life 4 Value for Money Review of IIT Bombay - Indian Institute of Technology. Placements: Many students got placed in our college. The highest package is 17 LPA. The lowest package is 3 LPA. Top companies visit our college to recruit students. Almost 95% of students get an internship every year. Infrastructure: The facilities and infrastructure available in this course are so good. Wi-Fi and classroom as well as a library are present in this college. The food quality in this course is so good. Medical is available and sports and games are present in this course. Faculty: Teachers in my college are very helpful and qualified. They have great teaching qualities. The course curriculum is relevant. Students are not fully industry-ready. The semester exam in this course is so easy therefore pass percentage is more than 60% in this course. Other: I choose this course for getting good income source there is no wish to improve. The campus crowd is so good. The scholarship is available at this college. Reviewed on 16 Apr 2025 Read More A Aditya Kumar Shah B.Tech. in Civil Engineering - Batch of 2028 5 5 Placements 5 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 5 Value for Money It is the best college in India in every field like facilities, placements, research, etc. Placements: The average package offered is 23 LPA for the civil course, and the highest package is 98 LPA. All Students who are willing to get jobs get placed. Many students who do not get placements are the ones who are already clear with the thought about what they have to do like government jobs, startups, or further studies. Infrastructure: Top-class facilities are there at IIT Bombay&nbsp;in every field. Our college provides Wi-Fi in hostels, AC classrooms, AC library, many canteens, good quality food and free medical facilities, a top class sports facilities with so many grounds and courts. It even has 3 indoor volleyball courts which is very rare in India. Faculty: Everything is perfect. Semester exams are pretty hard, and only the one who has cracked JEE advanced can solve them. Professors are very helpful and kind. But any malpractices are not avoided. Attendance is compulsory, and we can't take it in a chill way.","file://C:/Users/ASUS/Desktop/Sample Project/Webpages_Bombay/IIT Bombay Reviews on Placements, Faculty and Facilities.html"
"IIT Bombay Reviews on Placements, Faculty and Facilities",2025-03-29,2025-03,,,,false,5.0,5.0,5.0,5.0,5.0,,,5.00,overall,5,5.0,good,"Reviewed on 16 Apr 2025 Read More A Aditya Kumar Shah B.Tech. in Civil Engineering - Batch of 2028 5 5 Placements 5 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 5 Value for Money It is the best college in India in every field like facilities, placements, research, etc. Placements: The average package offered is 23 LPA for the civil course, and the highest package is 98 LPA. All Students who are willing to get jobs get placed. Many students who do not get placements are the ones who are already clear with the thought about what they have to do like government jobs, startups, or further studies. Infrastructure: Top-class facilities are there at IIT Bombay&nbsp;in every field. Our college provides Wi-Fi in hostels, AC classrooms, AC library, many canteens, good quality food and free medical facilities, a top class sports facilities with so many grounds and courts. It even has 3 indoor volleyball courts which is very rare in India. Faculty: Everything is perfect. Semester exams are pretty hard, and only the one who has cracked JEE advanced can solve them. Professors are very helpful and kind. But any malpractices are not avoided. Attendance is compulsory, and we can't take it in a chill way. Reviewed on 29 Mar 2025 Read More P Prateek Sharma B.Tech. in Metallurgical Engineering and Materials Science - Batch of 2026 4.8 4 Placements 5 Infrastructure 5 Faculty 5 Crowd &amp; Campus Life 5 Value for Money It is absolutely the best experience of life with a green campus and the best placements. Placements: The overall placement of IIT Bombay is good. Around 90% of the batch is placed every year with a good amount of package. The highest domestic package is around 1 crore per annum, while the international package is around 3 crore per annum. The average package is 20 LPA to 30 LPA for Computer Science and related branches, while the other branches in core domains have an average package of around 12 LPA to 20 LPA. The top recruiting companies are all the big MNCs and tech companies like FAANG. Top roles offered are in consulting, finance, software, ML, data science, etc. Infrastructure: The overall facilities in classrooms and the library are really good. All classrooms, library, and study rooms are complete equipped with AC, Wi-Fi, and LAN. Overall, hygiene is also maintained everywhere. The hostel facilities vary depending on the year we belong to. The hostel for 1st-year students is really good, with enough space in all rooms and clean. But in our 2nd and 3rd-year hostels, the infrastructure is not good, and the buildings are also old, but hygiene is still maintained. The mess food is not up to expectations, but we can easily survive eating that food. Faculty: All faculty members are highly educated and experienced in the teaching field. Most of the professors are from big colleges like IITs/NITs and have done their higher studies from great foreign universities. So, the teaching quality is really good. The course curriculum is also perfect, as it gives a proper taste of the actual work that happens at the industrial level. Some field trips are also carried out by professors for students in some of the courses to give students proper experience of how work actually happens on a big scale in industries. Other: I choose this course as I want to explore the metallurgical engineering field, learn more about metals, their extraction, and properties. The college life here is the best part. There are many fests organized throughout the year, creating a vibrant environment on the campus. The campus has sports fields for every sport we want to play, like both indoor and outdoor courts. We also have a gym, yoga rooms, and rooms for cultural activities. There are scholarships are also provided by the college based on parental income.","file://C:/Users/ASUS/Desktop/Sample Project/Webpages_Bombay/IIT Bombay Reviews on Placements, Faculty and Facilities.html"
